"questions","answers","A","B","C","D","full_sentence"
"The agreement stipulates that Royal Commercial Cleaners will provide general cleaning services _____ the building on a weekly basis.","throughout","over","upon","between","throughout","The agreement stipulates that Royal Commercial Cleaners will provide general cleaning services throughout the building on a weekly basis."
"The workshop on leadership skills should _____ include classes for those who are already leaders and classes for those who would like to become one.","ideally","idealess","ideally","ideal","idealism","The workshop on leadership skills should ideally include classes for those who are already leaders and classes for those who would like to become one."
"To gain the _____ of its employees, Tamarities Corporation offers competitive salary and compensation packages.","loyalty","name","brand","normality","loyalty","To gain the loyalty of its employees, Tamarities Corporation offers competitive salary and compensation packages."
"In its presentation to Glaucus Industries' management, researchers stated that the new marketing campaign is _____ to increase sales by 20 percent.","expected","expecting","expected","expectation","expectably","In its presentation to Glaucus Industries' management, researchers stated that the new marketing campaign is expected to increase sales by 20 percent."
"Unlike other preparatory schools, Jameson Academy places _____ importance on developing its students' innate artistic abilities than on teaching a variety of skills.","greater","as great as","greater","more greatly","greatly","Unlike other preparatory schools, Jameson Academy places greater importance on developing its students' innate artistic abilities than on teaching a variety of skills."
"Since many neighborhood association members work on weekdays, meetings are _____ held at the clubhouse on Sundays.","frequently","mentally","incidentally","frequently","formerly","Since many neighborhood association members work on weekdays, meetings are frequently held at the clubhouse on Sundays."
"Yunnan-based power distributor Neutron launched its first public offering on the Shanghai stock exchange _____ additional capital for expansion may be raised.","so that","so that","since","while","without","Yunnan-based power distributor Neutron launched its first public offering on the Shanghai stock exchange so that additional capital for expansion may be raised."
"According to a recent report, Stentor Weavers is the leading _____ of textile products in South America.","manufacturer","manufacturability","manufactured","manufacturer","manufacture","According to a recent report, Stentor Weavers is the leading manufacturer of textile products in South America."
"As of yesterday, twenty-two companies from _____ industries have already confirmed their participation to the fourth annual career fair in May.","various","intent","various","outright","favorable","As of yesterday, twenty-two companies from various industries have already confirmed their participation to the fourth annual career fair in May."
"_____ budget fare promotions, Crow Airlines' ticket sales continued to drop in the last three months of the year.","In spite of","Due to","Even though","In spite of","However","In spite of budget fare promotions, Crow Airlines' ticket sales continued to drop in the last three months of the year."
"The replacement of outgoing senior project manager Dong-il Kim will be _____ announced at the company dinner tomorrow evening.","formally","formal","formally","formalism","formalness","The replacement of outgoing senior project manager Dong-il Kim will be formally announced at the company dinner tomorrow evening."
"To improve passenger safety, security guards will _____ conduct bag inspections at all entry points of the train station.","regularly","anxiously","expectantly","regularly","delicately","To improve passenger safety, security guards will regularly conduct bag inspections at all entry points of the train station."
"Jonathan Moore was transferred from the research department because management decided to assign _____ to lead a construction project in Qatar.","him","him","he","his","himself","Jonathan Moore was transferred from the research department because management decided to assign him to lead a construction project in Qatar."
"After _____ to hire a professional planner for the company gala, Marion Gonzales worked on finalizing the event's guest list.","deciding","decision","decided","deciding","decide","After deciding to hire a professional planner for the company gala, Marion Gonzales worked on finalizing the event's guest list."
"Dr. Reinhardt _____ in oral surgery procedures and has published numerous articles on a variety of dental topics.","specializes","generates","identifies","establishes","specializes","Dr. Reinhardt specializes in oral surgery procedures and has published numerous articles on a variety of dental topics."
"The package that the receptionist signed for this morning was delivered on time, but the secretary noticed that _____ had been tampered with.","it","it","itself","she","herself","The package that the receptionist signed for this morning was delivered on time, but the secretary noticed that it had been tampered with."
"Ken Yoshida has been assigned to write a summary of all the issues _____ were discussed at yesterday's meeting.","that","that","what","these","when","Ken Yoshida has been assigned to write a summary of all the issues that were discussed at yesterday's meeting."
"Ms. Maurice would like to _____ her booking for the cruise because a friend wants to accompany her on the trip.","change","reposition","change","overturn","revitalize","Ms. Maurice would like to change her booking for the cruise because a friend wants to accompany her on the trip."
"At Glendale Department Store, the special discount offer of 30 percent off on men's and women's apparel is _____ for orders of 500 dollars or more.","valid","valid","correct","solid","potent","At Glendale Department Store, the special discount offer of 30 percent off on men's and women's apparel is valid for orders of 500 dollars or more."
"Mr. Wang is knowledgeable in the latest graphic design programs, but _____ other applicants, he did not graduate from a top university.","unlike","about","unlike","without","except","Mr. Wang is knowledgeable in the latest graphic design programs, but unlike other applicants, he did not graduate from a top university."
"In most pre-school centers for children with learning disabilities, trained teachers conduct guided reading sessions _____ groups.","in","over","in","onto","to","In most pre-school centers for children with learning disabilities, trained teachers conduct guided reading sessions in groups."
"African leaders at the Global Summit collectively agreed to strengthen _____ in trade and tourism.","cooperation","cooperatively","cooperation","cooperated","cooperates","African leaders at the Global Summit collectively agreed to strengthen cooperation in trade and tourism."
"Additional amenities for dinner and cocktail catering packages are free of _____ for events with two hundred guests and up.","charge","evaluation","obligation","power","charge","Additional amenities for dinner and cocktail catering packages are free of charge for events with two hundred guests and up."
"Participants are requested to give brief introductions of themselves _____ the beginning of the photography workshop.","at","with","at","since","against","Participants are requested to give brief introductions of themselves at the beginning of the photography workshop."
"Calchas Learning Center will offer a variety of crafts classes this summer, _____ knitting, basket making, and glass painting.","including","include","includes","including","included","Calchas Learning Center will offer a variety of crafts classes this summer, including knitting, basket making, and glass painting."
"Fashion consultant Daisy Groff wrote in the latest edition of Mode Magazine that price does not _____ mean that a product is of high quality.","necessarily","necessarily","mechanically","mutually","profitably","Fashion consultant Daisy Groff wrote in the latest edition of Mode Magazine that price does not necessarily mean that a product is of high quality."
"The proposed changes to the blueprint comply with the state's new zoning law, an explanation of which is included in the _____ analysis.","revised","revise","revising","revised","revision","The proposed changes to the blueprint comply with the state's new zoning law, an explanation of which is included in the revised analysis."
"Our client carefully studied the real estate development contract with an attorney before telling our representative that he _____ the terms and conditions.","accepts","attracts","connects","accepts","embraces","Our client carefully studied the real estate development contract with an attorney before telling our representative that he accepts the terms and conditions."
"Because economic conditions have made traveling expensive, Hecuba Tours has designed European travel packages that are _____ for tourists on a budget.","ideal","ideal","idealist","ideally","idealization","Because economic conditions have made traveling expensive, Hecuba Tours has designed European travel packages that are ideal for tourists on a budget."
"All field engineers must update the project manager on the status of their respective assignments _____ week.","every","while","every","rather","further","All field engineers must update the project manager on the status of their respective assignments every week."
"Due to the _____ renovations in the Wire Telecom lobby, the customer care office will temporarily conduct business on the second floor of the building until next week.","ongoing","ongoing","considerate","devoted","everlasting","Due to the ongoing renovations in the Wire Telecom lobby, the customer care office will temporarily conduct business on the second floor of the building until next week."
"The user's manual that came with your refrigerator provides detailed instructions on _____ to defrost and clean your freezer.","how","how","so","much","well","The user's manual that came with your refrigerator provides detailed instructions on how to defrost and clean your freezer."
"Customers of Penn Street Cafe are advised not to leave _____ valuables and personal belongings unattended while in the coffee shop.","their own","them","theirs","their own","themselves","Customers of Penn Street Cafe are advised not to leave their own valuables and personal belongings unattended while in the coffee shop."
"A special type of rechargeable battery available in most supermarkets must be _____ correctly into the digital camera for it to function.","loaded","committed","confined","loaded","invited","A special type of rechargeable battery available in most supermarkets must be loaded correctly into the digital camera for it to function."
"During the advertising campaign for Tech-Work's new music player, staff members were so busy that they _____ had time for a coffee break.","hardly","hard","hardly","harder","hardest","During the advertising campaign for Tech-Work's new music player, staff members were so busy that they hardly had time for a coffee break."
"Since the primary responsibility of the position involves liaising with clients, priority will be given to candidates _____ are excellent communicators.","who","who","whom","them","they","Since the primary responsibility of the position involves liaising with clients, priority will be given to candidates who are excellent communicators."
"The human resources manager will be busy over the next two weeks _____ applicants to fill several customer service representative openings.","interviewing","interviewing","interviewed","interview","interviews","The human resources manager will be busy over the next two weeks interviewing applicants to fill several customer service representative openings."
"The Sharp Eye seminar scheduled for June 1 to 3 is intended for professional _____ who would like to learn advanced techniques.","photographers","photograph","photographed","photographers","photographing","The Sharp Eye seminar scheduled for June 1 to 3 is intended for professional photographers who would like to learn advanced techniques."
"_____ becoming a member of Touch Note Club, you can receive discounts from your favorite shopping centers and enjoy other exciting privileges.","By","By","With","Off","Until","By becoming a member of Touch Note Club, you can receive discounts from your favorite shopping centers and enjoy other exciting privileges."
"Staff members who tested the recently _____ database management software will be asked for feedback on Friday.","created","create","created","creation","creator","Staff members who tested the recently created database management software will be asked for feedback on Friday."
"Survey results show that many people still want to relocate to London _____ living costs in the city have risen sharply in recent years.","although","although","whereas","once","wherever","Survey results show that many people still want to relocate to London although living costs in the city have risen sharply in recent years."
"The president promised to launch more community programs and create employment opportunities to improve the citizens' _____ of living.","standard","classification","border","standard","tolerance","The president promised to launch more community programs and create employment opportunities to improve the citizens' standard of living."
"We understand you want a refund because the actual color of the bag is slightly different from the one _____ in the brochure.","pictured","pictured","dictated","imagined","committed","We understand you want a refund because the actual color of the bag is slightly different from the one pictured in the brochure."
"Dr. Heavens must pay for the plane ticket in full _____ the end of the day to avoid forfeiting the flight reservation.","by","by","among","against","with","Dr. Heavens must pay for the plane ticket in full by the end of the day to avoid forfeiting the flight reservation."
"Soon after arriving at the construction site, the contractor _____ all the steel workers to check whether they were wearing the proper safety gear.","gathered","gathered","dispersed","distributed","accumulated","Soon after arriving at the construction site, the contractor gathered all the steel workers to check whether they were wearing the proper safety gear."
"Novice reporters undergoing an internship at this news agency will not be permitted to write investigative articles on _____ own.","their","their","they","them","theirs","Novice reporters undergoing an internship at this news agency will not be permitted to write investigative articles on their own."
"After the success of Eudoros Foundation's first auction, public biddings to raise funds became a _____ held event for the organization.","regularly","certainly","regularly","primarily","basically","After the success of Eudoros Foundation's first auction, public biddings to raise funds became a regularly held event for the organization."
"Gerry Holmes was assigned to check the venue of the seminar, _____ Lester Dickens was ordered to confirm the attendance of speakers.","while","during","while","due to","unless","Gerry Holmes was assigned to check the venue of the seminar, while Lester Dickens was ordered to confirm the attendance of speakers."
"Guests may store personal belongings in their rooms, but Reagan Hotels will not take _____ for any loss of valuables.","responsibility","responsive","responsibility","responsible","responsibly","Guests may store personal belongings in their rooms, but Reagan Hotels will not take responsibility for any loss of valuables."
"_____ receive the updates on Pro-child Movement's programs, please sign up for the foundation's mailing list.","In order to","In order to","As though","Unless","Until","In order to receive the updates on Pro-child Movement's programs, please sign up for the foundation's mailing list."
"For seven years, Leticia Taylor has been giving monetary donations to numerous environmental groups to _____ the conservation of Australian rainforests.","support","trust","count","occupy","support","For seven years, Leticia Taylor has been giving monetary donations to numerous environmental groups to support the conservation of Australian rainforests."
"While Mr. Hudson was on a business trip, the assistant branch manager handled the _____ of Spencer's Supermarket.","operations","operates","operative","operations","operational","While Mr. Hudson was on a business trip, the assistant branch manager handled the operations of Spencer's Supermarket."
"Pocholo Cleaning Services' _____ use of supplies and employment of reusable implements resulted in a 20 percent decrease in operating expenses.","economical","economy","economical","economist","economically","Pocholo Cleaning Services' economical use of supplies and employment of reusable implements resulted in a 20 percent decrease in operating expenses."
"Employees are asked to create weekly progress reports, so that the management can measure their productivity _____.","efficiently","eloquently","unexpectedly","noticeably","efficiently","Employees are asked to create weekly progress reports, so that the management can measure their productivity efficiently."
"Darren Foster will conduct an _____ of the commercial property on Briseis Boulevard, which previously operated as a restaurant.","appraisal","interest","exception","appraisal","impact","Darren Foster will conduct an appraisal of the commercial property on Briseis Boulevard, which previously operated as a restaurant."
"Erik Jussila first took _____ measurements of the room area before going to the store to purchase wallpaper.","accurate","plain","distinct","constant","accurate","Erik Jussila first took accurate measurements of the room area before going to the store to purchase wallpaper."
"The Independent Film Writers' Alliance is organizing a forum in February to _____ the latest industry trends.","discuss","discussing","discussed","discussion","discuss","The Independent Film Writers' Alliance is organizing a forum in February to discuss the latest industry trends."
"The event organizers are convening today because the final raffle event is fast _____, but ticket offices report that there are still many unsold tickets.","approaching","approaching","attracting","escaping","settling","The event organizers are convening today because the final raffle event is fast approaching, but ticket offices report that there are still many unsold tickets."
"Pop fans _____ accepted the new album of Wendy Jackson, who took a long break from the music scene after giving birth to her first child.","positively","positive","positively","positivism","positivist","Pop fans positively accepted the new album of Wendy Jackson, who took a long break from the music scene after giving birth to her first child."
"White Detergent recorded a 20 percent increase in sales last month _____ its effective advertising campaigns.","because of","aside from","instead of","because of","as for","White Detergent recorded a 20 percent increase in sales last month because of its effective advertising campaigns."
"_____ for the national football championship to be held at the Achilles Stadium this coming Sunday have yet to be finalized.","Preparations","Preparations","Expectations","Distributions","Settlements","Preparations for the national football championship to be held at the Achilles Stadium this coming Sunday have yet to be finalized."
"If the motor shop finishes the repainting job by Friday afternoon, the vehicle may be released the _____ day.","following","favorable","following","common","leading","If the motor shop finishes the repainting job by Friday afternoon, the vehicle may be released the following day."
"_____ its inception in 1985, Gonzaga Tailoring has been the leading maker of","Since","Before","Since","For","On","Since its inception in 1985, Gonzaga Tailoring has been the leading maker of"
"During the presentation, researchers discussed the _____ of survey methods used for study.","reliability","separation","obligation","possibility","reliability","During the presentation, researchers discussed the reliability of survey methods used for study."
"The video presentation featured during the anniversary party was dedicated to the _____ staff members of the accounting firm.","outgoing","retracted","activated","separating","outgoing","The video presentation featured during the anniversary party was dedicated to the outgoing staff members of the accounting firm."
"Imbrius Shipping plans to redesign its Web site before the end of the year to make its services and information more _____ to customers.","accessible","accessing","accessibly","accessible","accessibility","Imbrius Shipping plans to redesign its Web site before the end of the year to make its services and information more accessible to customers."
"Every quarter, the department store publishes a comprehensive online product catalog that lists the prices of _____ discounted items and regularly priced items.","both","neither","where","both","either","Every quarter, the department store publishes a comprehensive online product catalog that lists the prices of both discounted items and regularly priced items."
"Please label the folders _____, so that it will be easier for the manager to find the documents he needs.","accordingly","preferably","accordingly","especially","consequently","Please label the folders accordingly, so that it will be easier for the manager to find the documents he needs."
"The completion of the Priam Bridge restoration will be the _____ priority of Menelaus Construction over the next few months.","most urgent","urgent","most urgent","more urgent","urgently","The completion of the Priam Bridge restoration will be the most urgent priority of Menelaus Construction over the next few months."
"The _____ of Kryston Bank's financial services into the rural region has resulted in the improvement of Sinchula province's agricultural industry.","expansion","expand","expensive","expandable","expansion","The expansion of Kryston Bank's financial services into the rural region has resulted in the improvement of Sinchula province's agricultural industry."
"Kathleen Baker is scheduled to give a detailed - _____ next week on Odysseus Communications' new line of mobile phones.","presentation","entrance","situation","appearance","presentation","Kathleen Baker is scheduled to give a detailed - presentation next week on Odysseus Communications' new line of mobile phones."
"Located in the south, Bristow is a small city with a local government that _____ various awards for good governance over the past three years.","has received","receive","receiving","has received","will receive","Located in the south, Bristow is a small city with a local government that has received various awards for good governance over the past three years."
"The cost of raw materials has been increasing over the past few months, with the result that steel prices have climbed _____ in Europe and Asia.","sharply","legibly","firmly","intently","sharply","The cost of raw materials has been increasing over the past few months, with the result that steel prices have climbed sharply in Europe and Asia."
"The launch date of Thetis Express' online remittance service _____ with the company's fortieth foundation anniversary.","coincides","gathers","exhibits","coincides","accompanies","The launch date of Thetis Express' online remittance service coincides with the company's fortieth foundation anniversary."
"_____ large oil companies have cut back fuel prices, transport firms have yet to reduce fare rates.","Although","Although","Either","However","Also","Although large oil companies have cut back fuel prices, transport firms have yet to reduce fare rates."
"Residents, who have been supportive _____ the homeowner's association chairman, donated funds for her clean and green campaign.","of","of","on","within","over","Residents, who have been supportive of the homeowner's association chairman, donated funds for her clean and green campaign."
"Mr. Ervin's research team was commissioned to _____ collect and analyze data on current health care practices in Mexico City.","systematically","systematically","extremely","longingly","warmly","Mr. Ervin's research team was commissioned to systematically collect and analyze data on current health care practices in Mexico City."
"The _____ weather conditions made the Bamboo Festival last weekend an enjoyable experience for residents and visitors alike.","favorable","caring","responsive","favorable","considerate","The favorable weather conditions made the Bamboo Festival last weekend an enjoyable experience for residents and visitors alike."
"Klims Mining will recruit additional _____ officers to ensure effective prevention of work-related accidents.","safety","safe","safely","safety","safest","Klims Mining will recruit additional safety officers to ensure effective prevention of work-related accidents."
"Aside from prescription medicines, a _____ diet and regular exercise are effective means to reduce cholesterol levels.","healthy","presented","concerned","habitual","healthy","Aside from prescription medicines, a healthy diet and regular exercise are effective means to reduce cholesterol levels."
"A recently published report states that a popular herbal supplement does have side effects, but it does not _____ vomiting in those who take it as directed.","induce","induce","persuade","transform","dispose","A recently published report states that a popular herbal supplement does have side effects, but it does not induce vomiting in those who take it as directed."
"Passengers waiting on the platform were informed that the train _____ in Bucharest would arrive late due to a technical problem.","originating","originated","will originate","originates","originating","Passengers waiting on the platform were informed that the train originating in Bucharest would arrive late due to a technical problem."
"Until the company's obligations and liabilities are met, the purchase of new office equipment and furniture is considered the lowest _____.","priority","distress","change","guide","priority","Until the company's obligations and liabilities are met, the purchase of new office equipment and furniture is considered the lowest priority."
"Part of Phuket's urban development plan is the establishment of _____ centers, business parks, and high-end residential subdivisions in selected towns.","commercial","commercially","commercialize","commercial","commercialism","Part of Phuket's urban development plan is the establishment of commercial centers, business parks, and high-end residential subdivisions in selected towns."
"_____ the revisions to the employee manual have been completed, the new office policies will take effect immediately.","Once","Once","Despite","Following","Although","Once the revisions to the employee manual have been completed, the new office policies will take effect immediately."
"The CDTV Broadcasting Network in Vietnam has _____ rights to air selected reality television shows of USA's Studio 1 Channel.","exclusive","malignant","pleasing","elegant","exclusive","The CDTV Broadcasting Network in Vietnam has exclusive rights to air selected reality television shows of USA's Studio 1 Channel."
"Mr. Orlando said that he would send the _____ purchase agreement to our office next Thursday.","modified","modifies","modified","modifying","modification","Mr. Orlando said that he would send the modified purchase agreement to our office next Thursday."
"A report published in a major newspaper stated that more than twenty companies listed on the stock exchange have issued dividends to _____ shareholders.","their","they","their","them","themselves","A report published in a major newspaper stated that more than twenty companies listed on the stock exchange have issued dividends to their shareholders."
"Unless the contracting company agrees to the discount requested by Mr. Taylor, he will not be able to stay _____ the budget.","within","along","within","below","toward","Unless the contracting company agrees to the discount requested by Mr. Taylor, he will not be able to stay within the budget."
"As part of its long-term goal to expand overseas, Valwick Industries is ready to _____ an office building and a factory in Ho Chi Minh.","purchase","purchased","purchase","purchasing","purchases","As part of its long-term goal to expand overseas, Valwick Industries is ready to purchase an office building and a factory in Ho Chi Minh."
"In her new book, Holly Pearson wrote about her experiences while traveling along the Thai-Malaysian _____.","border","sequence","category","position","border","In her new book, Holly Pearson wrote about her experiences while traveling along the Thai-Malaysian border."
"_____ the Mexican Peso strengthens against the US Dollar, manufacturing companies will be expected to recover from losses caused by currency devaluation.","Once","Once","During","Without","Although","Once the Mexican Peso strengthens against the US Dollar, manufacturing companies will be expected to recover from losses caused by currency devaluation."
"The information technology staff has _____ adapted to the changes in the department's quality assurance methods.","gradually","enormously","gradually","hourly","busily","The information technology staff has gradually adapted to the changes in the department's quality assurance methods."
"Richard Boyce signed the lease _____ prepared by the owner after carefully studying the terms and conditions specified in the document.","contract","contraction","contracting","contracted","contract","Richard Boyce signed the lease contract prepared by the owner after carefully studying the terms and conditions specified in the document."
"The auditor who carefully examined the firm's financial records to verify their accuracy reported that thousands of dollars could not be _____ for.","accounted","tabulated","accounted","scattered","extracted","The auditor who carefully examined the firm's financial records to verify their accuracy reported that thousands of dollars could not be accounted for."
"An important safety _____ to consider when designing toys for young children is that the toy's parts must not be so small so as to be easily swallowed.","measure","property","ratio","course","measure","An important safety measure to consider when designing toys for young children is that the toy's parts must not be so small so as to be easily swallowed."
"The manager was held _____ for profit losses suffered by the Dayton Grill restaurant in the past quarter.","responsible","responsive","responsible","response","respond","The manager was held responsible for profit losses suffered by the Dayton Grill restaurant in the past quarter."
"As part of the university's calendar for supplementary sessions, the Marketing Research Institute will host a discussion _____ new data gathering methods.","of","along","of","beside","to","As part of the university's calendar for supplementary sessions, the Marketing Research Institute will host a discussion of new data gathering methods."
"Aside from her regular teaching job, Ms. Nguyen tutors some students in mathematics as an _____ source of income.","additional","obedient","influential","additional","exaggerated","Aside from her regular teaching job, Ms. Nguyen tutors some students in mathematics as an additional source of income."
"This is to inform you that the main elevator will be temporarily out of service from May 15 to May 25 due to repair _____.","work","worked","was working","will work","work","This is to inform you that the main elevator will be temporarily out of service from May 15 to May 25 due to repair work."
"Lucy removed the stain from the microwave oven _____ when she followed the cleaning instructions in the manual.","easily","easy","ease","easily","eased","Lucy removed the stain from the microwave oven easily when she followed the cleaning instructions in the manual."
"The composer has _____ the use of a previously recorded song for an environmental campaign to be spearheaded by Bio-Watch Organization.","authorized","authorized","declared","prepared","diagnosed","The composer has authorized the use of a previously recorded song for an environmental campaign to be spearheaded by Bio-Watch Organization."
"Mr. Zavala makes it a point to set aside an hour a day to engage in recreational activities _____ his busy work schedule.","in spite of","in spite of","so as to","in place of","with regard to","Mr. Zavala makes it a point to set aside an hour a day to engage in recreational activities in spite of his busy work schedule."
"The Ministry of Trade and Industry set up a price _____ team to prevent retailers from overpricing consumer goods.","monitoring","has monitored","will monitor","monitored","monitoring","The Ministry of Trade and Industry set up a price monitoring team to prevent retailers from overpricing consumer goods."
"The _____ behind the company's decision to venture into the hotel industry was explained during the press conference.","rationale","reception","conclusion","rationale","activity","The rationale behind the company's decision to venture into the hotel industry was explained during the press conference."
"The bank's profits for the present quarter have _____ by twenty-five percent as a result of unpaid interest on mortgage loans.","plunged","plunged","trickled","attempted","hastened","The bank's profits for the present quarter have plunged by twenty-five percent as a result of unpaid interest on mortgage loans."
"We apologize for the delayed notice, but all hotel function rooms will be _____ from December 28 to January 17.","unavailable","unavailable","pessimistic","deleted","detachable","We apologize for the delayed notice, but all hotel function rooms will be unavailable from December 28 to January 17."
"Malaysia launched a tourism campaign as a means of _____ foreigners to visit the country.","attracting","attracting","attract","attracted","attractive","Malaysia launched a tourism campaign as a means of attracting foreigners to visit the country."
"Dennis plans to submit _____ project proposal on increasing product awareness in targeted regions to the marketing manager as soon as it is finalized.","his","he","his","himself","him","Dennis plans to submit his project proposal on increasing product awareness in targeted regions to the marketing manager as soon as it is finalized."
"According to the information board at the city bus terminal, buses bound for Orchard Road and Bridgeway Park are _____ to depart every hour.","scheduled","scheduled","designed","accepted","elevated","According to the information board at the city bus terminal, buses bound for Orchard Road and Bridgeway Park are scheduled to depart every hour."
"_____ the company expands into Asia, more executives will be hired to fill vacant managerial positions.","As","As","Due to","Although","Following","As the company expands into Asia, more executives will be hired to fill vacant managerial positions."
"Panbert Holdings has _____ won the bid to acquire S-TeK Systems from Boxland Corporation.","recently","kindly","seldom","recently","alternately","Panbert Holdings has recently won the bid to acquire S-TeK Systems from Boxland Corporation."
"To resolve common printer problems, please refer to the _____ found in the printer's manual or use the troubleshooting software that came with your equipment.","instructions","instructive","instructively","instructions","instructed","To resolve common printer problems, please refer to the instructions found in the printer's manual or use the troubleshooting software that came with your equipment."
"For individuals who plan to start an entrepreneurial venture, it is always _____ to seek professional advice before making important decisions.","helpful","loyal","enlightened","durable","helpful","For individuals who plan to start an entrepreneurial venture, it is always helpful to seek professional advice before making important decisions."
"Although the auction house did not advertise the collection of art objects, _____ one-hundred art enthusiasts and antique collectors attended the public sale.","nearly","nearly","mostly","farther","even","Although the auction house did not advertise the collection of art objects, nearly one-hundred art enthusiasts and antique collectors attended the public sale."
"_____ the issues involving the venue for the product launch, Beakland Corporation has decided to postpone the release of its new cosmetic line.","Due to","Since","Without","Due to","Despite","Due to the issues involving the venue for the product launch, Beakland Corporation has decided to postpone the release of its new cosmetic line."
"I would like to request your honorable _____ at the inauguration of the town's public library next week.","presence","reaction","image","presence","talent","I would like to request your honorable presence at the inauguration of the town's public library next week."
"Passengers _____ flights were delayed last night were given meal vouchers and hotel accommodations.","whose","that","whom","who","whose","Passengers whose flights were delayed last night were given meal vouchers and hotel accommodations."
"During the workshop on composing musical forms, participants were asked to listen to a classical composition _____ and to take note of its arrangement.","attentively","dependably","explicitly","compactly","attentively","During the workshop on composing musical forms, participants were asked to listen to a classical composition attentively and to take note of its arrangement."
"If you are planning to relocate, please follow the _____ for telephone line cancellation specified on the reverse side of your copy of the contract.","procedure","accomplishment","procedure","dictation","procurement","If you are planning to relocate, please follow the procedure for telephone line cancellation specified on the reverse side of your copy of the contract."
"Licensed accountants with adequate work experience and _____ academic records are preferred for this position.","excellent","excelled","excelling","excel","excellent","Licensed accountants with adequate work experience and excellent academic records are preferred for this position."
"The booming real estate industry in the provinces _____ the size of agricultural lands to shrink over the past years.","has caused","is caused","has caused","causing","causes","The booming real estate industry in the provinces has caused the size of agricultural lands to shrink over the past years."
"For this week only, Optical Station on Main Avenue is offering a 20 percent discount to customers _____ a pair of eyeglasses or a set of contact lenses.","purchasing","purchasing","purchased","purchase","purchaser","For this week only, Optical Station on Main Avenue is offering a 20 percent discount to customers purchasing a pair of eyeglasses or a set of contact lenses."
"Rivettes, a _____ dealer of home and office furniture in Southeast Asia, is expanding into the United States.","leading","lead","leading","leadership","leader","Rivettes, a leading dealer of home and office furniture in Southeast Asia, is expanding into the United States."
"The Laotian government has a 4-month timetable to complete the renovation of the National Convention Hall in _____ for the international business summit.","preparation","prepares","prepared","preparedness","preparation","The Laotian government has a 4-month timetable to complete the renovation of the National Convention Hall in preparation for the international business summit."
"Rose suggested sealing all the application forms in one red envelope, so that the manager may identify them _____.","easily","firmly","frankly","easily","extremely","Rose suggested sealing all the application forms in one red envelope, so that the manager may identify them easily."
"Books and magazines purchased through the Books Online website may be paid for _____ credit card, bank transfer or electronic fund remittance.","by","as","to","by","of","Books and magazines purchased through the Books Online website may be paid for by credit card, bank transfer or electronic fund remittance."
"Cashiers and salespeople _____ worked during the weekend sale received cash incentives from the store's management.","who","who","whose","which","whatever","Cashiers and salespeople who worked during the weekend sale received cash incentives from the store's management."
"Included with your order is an invoice detailing the quantity and cost of each item ordered and the total shipping and delivery _____ for the package.","charges","charges","concessions","commitments","duties","Included with your order is an invoice detailing the quantity and cost of each item ordered and the total shipping and delivery charges for the package."
"Prices of fruits and vegetables _____ stable since the government provided subsidies to farmers.","have remained","remain","have remained","remained","will remain","Prices of fruits and vegetables have remained stable since the government provided subsidies to farmers."
"The executive director mislaid his handwritten speech, but a cleaning woman _____ the missing draft in the conference room.","found","finding","found","to find","find","The executive director mislaid his handwritten speech, but a cleaning woman found the missing draft in the conference room."
"Despite his limited work experience, Justin's _____ determination to acquire the needed knowledge and skills has helped him gain recognition.","strong","normal","demanding","temporary","strong","Despite his limited work experience, Justin's strong determination to acquire the needed knowledge and skills has helped him gain recognition."
"_____ Ms. Tatters had undergone a major operation two weeks ago, she felt robust and energetic enough to go for walks around the neighborhood.","Even though","Even though","Without","Due to","Unless","Even though Ms. Tatters had undergone a major operation two weeks ago, she felt robust and energetic enough to go for walks around the neighborhood."
"After _____ analyzing the experiment results, the scientists are now ready to draw conclusions from the study.","carefully","carefully","careful","care","cares","After carefully analyzing the experiment results, the scientists are now ready to draw conclusions from the study."
"According to the Transport Bureau, many traffic rules have been _____ by motorists over the past years.","ignored","dedicated","pretended","ignored","digested","According to the Transport Bureau, many traffic rules have been ignored by motorists over the past years."
"Century Technology Industries has become increasingly _____ on issuing stock and obtaining foreign investments to raise capital for continued expansion.","dependent","depend","dependent","dependency","depends","Century Technology Industries has become increasingly dependent on issuing stock and obtaining foreign investments to raise capital for continued expansion."
"The customers' personal information is _____ by the website and stored in a database on a company server.","collected","collected","collecting","to collect","collect","The customers' personal information is collected by the website and stored in a database on a company server."
"The government has set the end of the month as the _____ for applying for inexpensive health care.","deadline","margin","terminal","limitation","deadline","The government has set the end of the month as the deadline for applying for inexpensive health care."
"The author of the best-selling detective fiction series _____ his last novel to an individual that no one knew.","dedicated","focused","apportioned","dedicated","proclaimed","The author of the best-selling detective fiction series dedicated his last novel to an individual that no one knew."
"_____ more than twenty years, Uncle Ted's, a bar and grill restaurant, has remained the number one food service franchise in the country.","For","Of","At","For","To","For more than twenty years, Uncle Ted's, a bar and grill restaurant, has remained the number one food service franchise in the country."
"Fixmate Hardware signed consignment _____ with a natural stone supplier and two bathroom fixture manufacturers.","agreements","explorations","schedules","posters","agreements","Fixmate Hardware signed consignment agreements with a natural stone supplier and two bathroom fixture manufacturers."
"Property developers are _____ to hire new employees due to the industry's slow growth in the last two quarters.","hesitant","hesitated","hesitation","hesitant","hesitate","Property developers are hesitant to hire new employees due to the industry's slow growth in the last two quarters."
